Ticker
ATO
DIS
D
BR
DOC
DVN
ED
ZTS
CPAY
MMC
AMCR
MNST
ON
EIX
CSCO
GOOGL
SBAC
PEP
PAYC
PSA
LULU
WEC
LHX
SNA
CTAS
ACN
SJM
NUE
PCAR
IVZ
MET
LYB
WST
DTE
MTB
RF
ROST
CMI
LYV
TAP
WYNN
V
VZ
FSLR
ABBV
HAS
