Ticker
ATO
DIS
MAA
D
BR
DOC
DVN
ED
ZTS
CPAY
MAR
AMCR
MPWR
OMC
CARR
EIX
CSCO
GOOGL
CRM
PNR
PAYX
PTC
LULU
WEC
LHX
SW
CTAS
ACN
GEV
SWKS
NRG
OTIS
IVZ
META
LYB
WST
DTE
MTB
REGN
ROP
VLTO
CMI
LYV
MOH
WYNN
V
VZ
FSLR
ABBV
HAS
