Date,ATO,DIS,MAA,D,BR,DOC,DVN,ED,ZTS,CPAY,MAR,AMCR,MPWR,OMC,CARR,EIX,CSCO,GOOGL,CRM,PNR,PAYX,PTC,LULU,WEC,LHX,CTAS,ACN,SWKS,NRG,OTIS,IVZ,META,LYB,WST,DTE,MTB,REGN,ROP,CMI,LYV,MOH,WYNN,V,VZ,FSLR,ABBV,HAS
2010-01-04,29.520000457763672,32.06999969482422,48.189998626708984,38.959999084472656,22.690000534057617,27.38615608215332,76.56999969482422,45.380001068115234,NA,NA,26.04146957397461,NA,24,39.619998931884766,NA,34.77000045776367,24.690000534057617,15.684433937072754,18.704999923706055,22.4177303314209,30.81999969482422,16.670000076293945,15.454999923706055,24.864999771118164,48.33000183105469,6.597499847412109,42.06999969482422,14.819999694824219,23.8700008392334,NA,23.34000015258789,NA,NA,19.735000610351563,37.055320739746094,67.01000213623047,24.6299991607666,52.540000915527344,46.939998626708984,9.119999885559082,15.846667289733887,63.959999084472656,22.03499984741211,31.21294593811035,135.4600067138672,NA,32.540000915527344
2010-01-05,29.209999084472656,31.989999771118164,48.150001525878906,38.47999954223633,22.600000381469727,27.313297271728516,76.6500015258789,44.790000915527344,NA,NA,26.192270278930664,NA,23.899999618530273,39.47999954223633,NA,34.459999084472656,24.579999923706055,15.615365028381348,18.625,21.994626998901367,30.799999237060547,16.549999237060547,15.914999961853027,24.540000915527344,48,6.587500095367432,42.33000183105469,15.050000190734863,24.239999771118164,NA,23.469999313354492,NA,NA,19.485000610351563,36.63829803466797,68.20999908447266,25.100000381469727,51.869998931884766,48.04999923706055,9.350000381469727,15.946666717529297,67.8499984741211,21.782499313354492,31.26921844482422,137.39999389648438,NA,32.18000030517578
2010-01-06,29.219999313354492,31.81999969482422,48.310001373291016,38.52000045776367,22.450000762939453,27.149362564086914,76.41999816894531,45.27000045776367,NA,NA,26.267671585083008,NA,23.100000381469727,39.16999816894531,NA,34.88999938964844,24.420000076293945,15.221721649169922,18.592500686645508,22.061786651611328,31.049999237060547,16.489999771118164,16.25,24.790000915527344,48.4900016784668,6.605000019073486,42.779998779296875,14.90999984741211,24.770000457763672,NA,22.979999542236328,NA,NA,19.295000076293945,36.79148864746094,70.48999786376953,24.719999313354492,52.27000045776367,48.4900016784668,9.949999809265137,16.17333221435547,66.95999908447266,21.489999771118164,29.937416076660156,140.02000427246094,NA,32.150001525878906
2010-01-07,28.940000534057617,31.829999923706055,48.540000915527344,38.58000183105469,22.540000915527344,27.522769927978516,75.970001220703125,45.11000061035156,NA,NA,26.371347427368164,NA,22.75,38.939998626708984,NA,34.68000030517578,24.530000686645508,14.867366790771484,18.510000228881836,22.659503936767578,31.540000915527344,16.549999237060547,16.155000686645508,24.739999771118164,48.630001068115234,6.662499904632568,42.7400016784668,14.739999771118164,24.90999984741211,NA,23.049999237060547,NA,NA,19.354999542236328,36.45106506347656,73.12000274658203,24.56999969482422,52.06999969482422,50.95000076293945,9.699999809265137,16.706666946411133,68.38999938964844,21.690000534057617,29.759218215942383,140.47999572753906,NA,31.690000534057617
2010-01-08,28.459999084472656,31.8799991607666,48.220001220703125,38.560001373291016,22.709999084472656,27.704917907714844,76.12000274658203,45.25,NA,NA,26.427898406982422,NA,23.010000228881836,39.38999938964844,NA,34.5,24.65999984741211,15.065566062927246,18.537500381469727,22.82740020751953,31.559999465942383,16.649999618530273,16.135000228881836,24.885000228881836,48.689998626708984,6.727499961853027,42.56999969482422,15,24.5,NA,22.920000076293945,NA,NA,19.350000381469727,36.73191452026367,73.839996337890625,24.3700008392334,52.439998626708984,53.66999816894531,9.640000343322754,16.84000015258789,67.9000015258789,21.75,29.77797508239746,139.67999267578125,NA,31.770000457763672
2010-01-11,28.6299991607666,31.360000610351563,48.470001220703125,39.130001068115234,22.780000686645508,28.014572143554688,75.08000183105469,45.81999969482422,NA,NA,26.371347427368164,NA,22.770000457763672,39.38999938964844,NA,35.16999816894531,24.59000015258789,15.042793273925781,18.412500381469727,22.75352668762207,31.75,16.690000534057617,15.904999732971191,25.2549991607666,49.2599983215332,6.699999809265137,42.529998779296875,15.010000228881836,24.729999542236328,NA,23.6299991607666,NA,NA,19.264999389648438,37.25106430053711,73.13999938964844,24.84000015258789,52.65999984741211,55,9.350000381469727,16.746667861938477,67.68000030517578,21.6875,29.899900436401367,138.24000549316406,NA,31.739999771118164
2010-01-12,28.6200008392334,30.81999969482422,48.09000015258789,38.93000030517578,22.559999465942383,27.540983200073242,74.19000244140625,45.72999954223633,NA,NA,26.145145416259766,NA,22.059999465942383,38.72999954223633,NA,35.130001068115234,24.200000762939453,14.776777267456055,17.072500228881836,22.33042335510254,31.639999389648438,16.440000534057617,15.675000190734863,25.149999618530273,47.38999938964844,6.610000133514404,42.2599983215332,14.710000038146973,24.040000915527344,NA,23.290000915527344,NA,NA,19.19499969482422,37.21702194213867,71.69000244140625,24.510000228881836,52.619998931884766,53.349998474121094,9.1899995803833,15.479999542236328,67.9800033569336,21.584999084472656,29.928037643432617,132.97999572753906,NA,31.239999771118164
2010-01-13,28.8700008392334,31.290000915527344,48.22999954223633,39.150001525878906,22.780000686645508,27.750455856323242,75.06999969482422,46.08000183105469,NA,NA,26.512723922729492,NA,22.020000457763672,39.15999984741211,NA,35.45000076293945,24.639999389648438,14.69194221496582,17.125,22.44459342956543,31.65999984741211,16.6200008392334,16.15999984741211,25.31999969482422,49.02000045776367,6.712500095367432,42.7400016784668,15.050000190734863,24.299999237060547,NA,23.3799991607666,NA,NA,19.239999771118164,37.54893493652344,73.62000274658203,24.649999618530273,52.43000030517578,52.779998779296875,9.260000228881836,15.119999885559082,69.4000015258789,21.78499984741211,29.890522003173828,132.1199951171875,NA,31.690000534057617
2010-01-14,28.889999389648438,31.020000457763672,48.119998931884766,39.11000061035156,22.969999313354492,27.668487548828125,73.970001220703125,46.22999954223633,NA,NA,27.983034133911133,NA,22.239999771118164,38.11000061035156,NA,35.43000030517578,24.950000762939453,14.761011123657227,17.297500610351563,22.505037307739258,31.350000381469727,17.110000610351563,15.930000305175781,25.260000228881836,48.95000076293945,6.670000076293945,43.119998931884766,15.329999923706055,24.049999237060547,NA,23,NA,NA,19.260000228881836,37.69361877441406,75.339996337890625,24.6200008392334,52.5,52.88999938964844,9.390000343322754,15.426667213439941,72.11000061035156,21.860000610351563,29.280895233154297,124.83999633789063,NA,32.02000045776367
2010-01-15,28.65999984741211,30.600000381469727,47.47999954223633,38.849998474121094,22.399999618530273,27.64116668701172,73.029998779296875,45.720001220703125,NA,NA,27.61545753479004,NA,21.790000915527344,37.65999984741211,NA,35.2400016784668,24.399999618530273,14.514514923095703,17.157499313354492,21.9811954498291,30.670000076293945,16.489999771118164,15.569999694824219,25.139999389648438,48,6.559999942779541,42.810001373291016,14.779999732971191,24.399999618530273,NA,22.709999084472656,NA,NA,19.084999084472656,37.38723373413086,73.160003662109375,23.8799991607666,51.709999084472656,51.72999954223633,9.319999694824219,15.466667175292969,70.5,21.53499984741211,28.680646896362305,124.06999969482422,NA,32.15999984741211
